Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
 46.0,29,Maine,4,41,42,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Maine,4,56,41,,Jan 01,,,,,,,,Election 2012-1
272.5,4,Maryland,10,63,27,04,Sep 30,,,,,,,,U. of Maryland-4
262.5,4,Maryland,10,58,25,06,Sep 20,,,,,,,,Goucher College-4
237.0,13,Maryland,10,54,25,06,Aug 30,,,,,,,,OpinionWorks-13
233.5,24,Maryland,10,54,27,09,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Maryland,10,51,33,,May 31,,,,,,,,Morning Consult-31
107.0,3,Maryland,10,61,28,,Apr 17,,,,,,,,PPP-3
 98.0,5,Maryland,10,63,27,,Apr 09,,,,,,,,Marist Coll.-5
 92.0,5,Maryland,10,63,28,,Apr 03,,,,,,,,Washington Post-5
 46.0,29,Maryland,10,52,32,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Maryland,10,62,37,,Jan 01,,,,,,,,Election 2012-1
272.5,10,Massachusetts,11,58,26,07,Oct 03,,,,,,,,Western New England U.-10
261.5,6,Massachusetts,11,47,34,09,Sep 20,,,,,,,,U. of Mass.-6
252.5,4,Massachusetts,11,54,28,09,Sep 10,,,,,,,,MassINC-4
248.0,3,Massachusetts,11,50,33,09,Sep 05,,,,,,,,Emerson College-3
233.5,24,Massachusetts,11,48,29,11,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Massachusetts,11,50,33,,May 31,,,,,,,,Morning Consult-31
124.5,4,Massachusetts,11,55,31,,May 05,,,,,,,,Suffolk U.-4
 96.5,10,Massachusetts,11,62,36,,Apr 10,,,,,,,,Western New England U.-10
 46.0,29,Massachusetts,11,49,37,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Massachusetts,11,61,38,,Jan 01,,,,,,,,Election 2012-1
284.5,2,Michigan,16,42,31,10,Oct 11,,,,,,,,Glengariff Group-2
276.0,3,Michigan,16,43,32,10,Oct 03,,,,,,,,EPIC MRA-3
271.5,2,Michigan,16,42,35,09,Sep 28,,,,,,,,Glengariff Group-2
265.0,7,Michigan,16,46,41,08,Sep 24,,,,,,,,Target Insyght-7
255.5,4,Michigan,16,38,35,10,Sep 13,,,,,,,,EPIC MRA-4
239.5,4,Michigan,16,45,40,07,Aug 28,,,,,,,,Emerson Coll.-4
236.0,3,Michigan,16,44,37,05,Aug 24,,,,,,,,Suffolk U.-3
233.5,24,Michigan,16,39,38,13,Sep 01,,,,,,,,SurveyMonkey-24
214.5,6,Michigan,16,43,32,08,Aug 04,,,,,,,,EPIC MRA-6
213.0,3,Michigan,16,41,32,08,Aug 01,,,,,,,,DetroitNews/Glengariff-3
196.0,3,Michigan,16,42,39,,Jul 15,,,,,,,,YouGov-3
195.0,5,Michigan,16,34,29,,Jul 15,,,,,,,,Marketing Resource Grp.-5
146.0,3,Michigan,16,43,39,,May 26,,,,,,,,Glengariff Group-3
137.0,31,Michigan,16,42,39,,May 31,,,,,,,,Morning Consult-31
